name,state,pop2017,pop2010
New York,NY,20320876,19567410
Los Angeles,CA,13353907,12828837
Chicago,IL,9533040,9461105
Dallas,TX,7399662,6426214
Houston,TX,6892427,5920416
Washington,DC,6216589,5636232
Miami,FL,6158824,5564635
Philadelphia,PA,6096120,5965343
Atlanta,GA,5884736,5286728
Boston,MA,4836531,4552402
Phoenix,AZ,4737270,4192887
San Francisco,CA,4727357,4335391
Riverside,CA,4580670,4224851
Detroit,MI,4313002,4296250
Seattle,WA,3867046,3439809
Minneapolis,MN,3600618,3348859
San Diego,CA,3337685,3095313
Tampa,FL,3091399,2783243
Denver,CO,2888227,2543482
Baltimore,MD,2808175,2710489
St. Louis,MO,2807338,2787701
Charlotte,NC,2525305,2217012
Orlando,FL,2509831,2134411
San Antonio,TX,2473974,2142508
Portland,OR,2453168,2226009
Pittsburgh,PA,2333367,2356285
Sacramento,CA,2324884,2149127
Las Vegas,NV,2204079,1951269
Cincinnati,OH,2179082,2114580
Kansas City,MO,2128912,2009342
Austin,TX,2115827,1716289
Columbus,OH,2078725,1901974
Cleveland,OH,2058844,2077240
Indianapolis,IN,2028614,1887877
San Jose,CA,1998463,1836911
Nashville,TN,1903045,1670890
Virginia Beach,VA,1725246,1676822
Providence,RI,1621122,1600852
Milwaukee,WI,1576236,1555908
Jacksonville,FL,1504980,1345596
Oklahoma City,OK,1383737,1252987
Memphis,TN,1348260,1324829
Raleigh,NC,1335079,1130490
Richmond,VA,1294204,1208101
Louisville,KY,1293953,1235708
New Orleans,LA,1275762,1189866
Hartford,CT,1210259,1212381
Salt Lake City,UT,1203105,1087873
Birmingham,AL,1149807,1128047
Buffalo,NY,1136856,1135509
Rochester,NY,1077948,1079671
Grand Rapids,MI,1059113,988938
Tucson,AZ,1022769,980263
Tulsa,OK,990706,937478
Fresno,CA,989255,930450
Urban Honolulu,HI,988650,953207
Bridgeport,CT,949921,916829
Worcester,MA,942475,916980
Omaha,NE,933316,865350
Albuquerque,NM,910726,887077
Greenville,SC,895923,824112
Bakersfield,CA,893119,839631
Albany,NY,886188,870716
Knoxville,TN,877104,837571
McAllen,TX,860661,774769
New Haven,CT,860435,862477
Oxnard,CA,854223,823318
El Paso,TX,844818,804123
Allentown,PA,840550,821173
Baton Rouge,LA,834159,802484
Columbia,SC,825033,767598
North Port,FL,804690,702281
Dayton,OH,803416,799232
Charleston,SC,775831,664607
Greensboro,NC,761184,723801
Stockton,CA,745424,685306
Cape Coral,FL,739224,618754
Little Rock,AR,738344,699757
Colorado Springs,CO,723878,645613
Boise City,ID,709845,616561
Akron,OH,703505,703200
Lakeland,FL,686483,602095
Winston,NC,667733,640595
Ogden,UT,665358,597159
Syracuse,NY,654841,662577
Madison,WI,654230,605435
Deltona,FL,649202,590289
Des Moines,IA,645911,569633
Wichita,KS,645628,630919
Springfield,MA,631652,621570
Provo,UT,617675,526810
Toledo,OH,603668,610001
Augusta,GA,600151,564873
Palm Bay,FL,589162,543376
Jackson,MS,578715,567122
Harrisburg,PA,571903,549475
Durham,NC,567428,504357
Spokane,WA,564236,527753
Chattanooga,TN,556548,528143
Scranton,PA,555426,563631
Modesto,CA,547899,514453
Lancaster,PA,542903,519445
Youngstown,OH,541926,565773
Fayetteville,AR,537463,463204
Portland,ME,532083,514098
Lexington,KY,512650,472099
Santa Rosa,CA,504217,483878
Lafayette,LA,491558,466750
Pensacola,FL,487784,448991
Lansing,MI,477656,464036
Port St. Lucie,FL,473429,424107
Reno,NV,464593,425417
Visalia,CA,464493,442179
Myrtle Beach,SC,464165,376722
Springfield,MO,462369,436712
Asheville,NC,456145,424858
Huntsville,AL,455448,417593
Corpus Christi,TX,454008,428185
Santa Maria,CA,448150,423895
York,PA,446078,434972
Vallejo,CA,445458,413344
Killeen,TX,443773,405300
Shreveport,LA,440933,439811
Salinas,CA,437907,415057
Fort Wayne,IN,434617,416257
Salem,OR,424982,390738
Brownsville,TX,423725,406220
Reading,PA,417854,411442
Mobile,AL,413955,412992
Beaumont,TX,412437,403190
Manchester,NH,409697,400721
Flint,MI,407385,425790
Salisbury,MD,405853,373802
Anchorage,AK,400888,380821
Canton,OH,399927,404422
Gulfport,MS,394232,370702
Savannah,GA,387543,347611
Fayetteville,NC,386662,366383
Tallahassee,FL,382627,367413
Davenport,IA,382263,379690
Eugene,OR,374748,351715
Trenton,NJ,374733,366513
Montgomery,AL,373903,374536
Naples,FL,372880,321520
Peoria,IL,372427,379186
Ann Arbor,MI,367627,344791
Hickory,NC,366534,365497
Huntington,WV,356474,364908
Ocala,FL,354353,331298
Fort Collins,CO,343976,299630
Kalamazoo,MI,338338,326589
Rockford,IL,338291,349431
Spartanburg,SC,334391,313268
Lincoln,NE,331519,302157
Boulder,CO,322514,294567
South Bend,IN,321815,319224
Green Bay,WI,320050,306241
Lubbock,TX,316983,290805
Evansville,IN,315669,311552
Roanoke,VA,314128,308707
Kingsport,TN,306659,309544
Greeley,CO,304633,252825
Columbus,GA,303811,294865
Utica,NY,293572,299397
Kennewick,WA,290296,253340
Wilmington,NC,288156,254884
Clarksville,TN,285042,260625
Gainesville,FL,284687,264275
San Luis Obispo,CA,283405,269637
Fort Smith,AR,282086,280467
Olympia,WA,280588,252264
Duluth,MN,278782,279771
Santa Cruz,CA,275897,262382
Laredo,TX,274794,250304
Erie,PA,274541,280566
Merced,CA,272673,255793
Crestview,FL,271346,235865
Cedar Rapids,IA,270293,257940
Atlantic City,NJ,269918,274549
Norwich,CT,269033,274055
Waco,TX,268696,252772
Bremerton,WA,266414,251133
Hagerstown,MD,265498,251599
Amarillo,TX,264925,251933
Lynchburg,VA,261254,252634
Sioux Falls,SD,259094,228261
College Station,TX,258044,228660
Yakima,WA,250193,243231
Tuscaloosa,AL,242799,230162
Binghamton,NY,242217,251725
Fargo,ND,241356,208777
Champaign,IL,239124,231891
Appleton,WI,236126,225666
Charlottesville,VA,233793,218705
Topeka,KS,233149,233870
Chico,CA,229294,220000
Macon,GA,228914,232293
Prescott,AZ,228168,211033
Tyler,TX,227727,209714
Bellingham,WA,221404,201140
Lafayette,IN,219239,201789
Burlington,VT,218395,211261
Rochester,MN,218280,206877
Longview,TX,217481,214369
Medford,OR,217479,203206
Las Cruces,NM,215579,209233
Hilton Head Island,SC,215302,187010
Charleston,WV,214406,227078
Barnstable Town,MA,213444,215888
Daphne,AL,212628,182265
Houma,LA,210512,208178
Lake Charles,LA,209357,199607
Athens,GA,209271,192541
Springfield,IL,208697,210170
Yuma,AZ,207534,195751
Lake Havasu City,AZ,207200,200186
Florence,SC,205831,205566
Elkhart,IN,205032,197559
Johnson City,TN,202053,198716
Panama City,FL,199723,184715
Gainesville,GA,199335,179684
St. Cloud,MN,197759,189093
Racine,WI,196071,195408
Jacksonville,NC,193893,177772
Saginaw,MI,191934,200169
Warner Robins,GA,191779,179605
Bloomington,IL,188232,186133
Bend,OR,186875,157733
Blacksburg,VA,182993,178237
El Centro,CA,182830,174528
Punta Gorda,FL,182033,159978
Redding,CA,179921,177223
Kingston,NY,179417,182493
Greenville,NC,179042,168148
Joplin,MO,178507,175518
Monroe,LA,178445,176441
Columbia,MO,178271,162642
Dover,DE,176824,162310
Bowling Green,KY,174835,158599
Muskegon,MI,173693,172188
Yuba City,CA,173679,166892
Iowa City,IA,171491,152586
Midland,TX,170675,141671
Billings,MT,170498,158934
Oshkosh,WI,170414,166994
Abilene,TX,170219,165252
Terre Haute,IN,169965,172425
Waterloo,IA,169892,167819
Sioux City,IA,168618,168563
East Stroudsburg,PA,168046,169842
Bloomington,IN,167825,159549
Eau Claire,WI,167484,161151
Pueblo,CO,166475,159063
Kahului,HI,166348,154924
St. George,UT,165662,138115
State College,PA,162660,153990
Burlington,NC,162391,151131
Janesville,WI,162309,160331
Auburn,AL,161604,140247
Jackson,MI,158640,160248
Coeur d'Alene,ID,157637,138494
Odessa,TX,157087,137130
Madera,CA,156890,150865
Sebastian,FL,154383,138028
Niles,MI,154259,156813
Chambersburg,PA,154234,149618
Alexandria,LA,153984,153922
Vineland,NJ,152538,156898
Bangor,ME,151957,153923
Decatur,AL,151867,153829
Grand Junction,CO,151616,146723
Jefferson City,MO,151465,149807
Albany,GA,151434,157308
Wichita Falls,TX,151230,151306
Elizabethtown,KY,150430,148338
Texarkana,TX,150355,149198
Hanford,CA,150101,152982
Monroe,MI,149649,152021
Hattiesburg,MS,148877,142842
Santa Fe,NM,148750,144170
Dothan,AL,147914,145639
Florence,AL,147038,147137
Rapid City,SD,146850,134598
Rocky Mount,NC,146738,152392
Homosassa Springs,FL,145647,141236
Idaho Falls,ID,145643,133265
Valdosta,GA,145437,139588
Dalton,GA,144440,142227
Wheeling,WV,141254,147950
Napa,CA,140973,136484
Flagstaff,AZ,140776,134421
Lebanon,PA,139754,133568
Morgantown,WV,138709,129709
Logan,UT,138002,125442
Winchester,VA,137887,128472
La Crosse,WI,136934,133665
Wausau,WI,135732,134063
Springfield,OH,134557,138333
Harrisonburg,VA,134442,125228
Battle Creek,MI,134128,136146
Johnstown,PA,133054,143679
Hammond,LA,132497,121097
Bismarck,ND,132142,114778
Jonesboro,AR,131269,121026
Sherman,TX,131140,120877
Jackson,TN,129235,130011
Lawton,OK,127349,130291
St. Joseph,MO,126935,127329
Farmington,NM,126926,130044
Pittsfield,MA,126313,131219
Glens Falls,NY,126152,128923
Mount Vernon,WA,125619,116901
Carbondale,IL,125612,126575
The Villages,FL,125165,93420
Albany,OR,125047,116672
New Bern,NC,124864,126802
Sierra Vista,AZ,124756,131346
Goldsboro,NC,124172,122623
Altoona,PA,123457,127089
Cleveland,TN,122317,115788
Staunton,VA,121999,118502
Lawrence,KS,120793,110826
Mansfield,OH,120589,124475
San Angelo,TX,119535,111823
Beckley,WV,118543,124898
Wenatchee,WA,118478,110884
Owensboro,KY,118376,114752
Weirton,WV,118250,124454
Brunswick,GA,118119,112370
Morristown,TN,118081,113951
Missoula,MT,117441,109299
Sheboygan,WI,115344,115507
Muncie,IN,115184,117671
Anniston,AL,114728,118572
Watertown,NY,114187,116229
Williamsport,PA,113841,116111
California,MD,112667,105151
Michigan City,IN,110029,111467
Kankakee,IL,109605,113449
Lewiston,ME,107651,107702
Longview,WA,106910,102410
Sumter,SC,106847,107456
Decatur,IL,105801,110768
Ithaca,NY,104802,101564
Bay City,MI,104239,107771
Lima,OH,103198,106331
Sebring,FL,102883,98786
Gadsden,AL,102755,104430
Fond du Lac,WI,102548,101633
Grand Forks,ND,102414,98461
Gettysburg,PA,102336,101407
Mankato,MN,100939,96740
Fairbanks,AK,99703,97581
Victoria,TX,99646,94003
Cumberland,MD,98837,103299
Hot Springs,AR,98658,96024
Cheyenne,WY,98327,91738
Manhattan,KS,98080,92719
Rome,GA,97613,96317
Ames,IA,97502,89542
Dubuque,IA,97041,93653
Cape Girardeau,MO,96782,96275
Ocean City,NJ,93553,97265
Pine Bluff,AR,90963,100258
Corvallis,OR,90951,85579
Parkersburg,WV,90898,92673
Grants Pass,OR,86352,82713
Elmira,NY,85557,88830
Pocatello,ID,85269,82839
Grand Island,NE,85045,81850
Bloomsburg,PA,84204,85562
Midland,MI,83411,83629
Kokomo,IN,82363,82752
Columbus,IN,82040,76794
Great Falls,MT,81654,81327
Hinesville,GA,80400,77917
Casper,WY,79547,75450
Danville,IL,77909,81625
Walla Walla,WA,64614,62859
Lewiston,ID,62920,60888
Enid,OK,61581,60580
Carson City,NV,54745,55274
